source,target,relation,source_sheet,raw_source,raw_target,fold
COMPOUND_a3040ad64318,SYMPTOM_bc0ee6c26fe4,TREATS,Compound-Treats relationship,हिंग्वाष्टक चूर्ण,शूल (वातज - कफज),1
COMPOUND_a3040ad64318,SYMPTOM_2e5db521735e,TREATS,Compound-Treats relationship,हिंग्वाष्टक चूर्ण,श्वास (तमक),1
COMPOUND_87ee03e63f60,DISEASE_e7a747ffb620,TREATS,Compound-Treats relationship,हिंग्वादि घृत,उन्माद,2
COMPOUND_e75db4b47277,SYMPTOM_154b2e2e5974,TREATS,Compound-Treats relationship,हरिद्रादि घृत,कामला,1
COMPOUND_e75db4b47277,SYMPTOM_bff77d569de2,TREATS,Compound-Treats relationship,हरिद्रादि घृत,पांडु,1
COMPOUND_e14a6138b047,SYMPTOM_c3332f5bc908,TREATS,Compound-Treats relationship,हरिद्राखंड योग,शीतपित्त,2
COMPOUND_e2c55cf429c4,DISEASE_071459a0c2fd,TREATS,Compound-Treats relationship,हरताल मिश्रण,कुष्ठ,0
COMPOUND_e2c55cf429c4,SYMPTOM_6100966d0a2c,TREATS,Compound-Treats relationship,हरताल मिश्रण,क्षुद्ररोग,0
COMPOUND_899cf06b47e4,SYMPTOM_9a9214077697,TREATS,Compound-Treats relationship,हरितक्यावलेह,कास,3
COMPOUND_899cf06b47e4,SYMPTOM_64c8aca0d1b5,TREATS,Compound-Treats relationship,हरितक्यावलेह,श्वास,3
COMPOUND_f76c522781a2,SYMPTOM_15564a4455ce,TREATS,Compound-Treats relationship,हरमलपोट्टली,हृद्रोग,0
COMPOUND_4532c1e7d544,SYMPTOM_99158dd7f146,TREATS,Compound-Treats relationship,हपुषादि घृत,गुल्म,0
COMPOUND_ebc3153baaef,SYMPTOM_b6122bfe4b97,TREATS,Compound-Treats relationship,स्वायंभुव गुग्गुलु,महाकुष्ठ,3
COMPOUND_b198011eb37b,SYMPTOM_94f15f526dc9,TREATS,Compound-Treats relationship,स्वादिष्टविरेचन चूर्ण,मृदु अनुलोमक,4
COMPOUND_74f13c20a26f,DISEASE_578708c54b66,TREATS,Compound-Treats relationship,स्त्रंसन चूर्ण,अम्लपित्त,3
COMPOUND_e05e5cec2a2d,DISEASE_5e294e090c89,TREATS,Compound-Treats relationship,स्मृती सागर,अपस्मार,4
COMPOUND_e05e5cec2a2d,SYMPTOM_9cd2b457d359,TREATS,Compound-Treats relationship,स्मृती सागर,बुद्धिमांद्य,4
COMPOUND_fec3fa141c31,DISEASE_d60c11b4f6b2,TREATS,Compound-Treats relationship,सूक्ष्म त्रिफळा,उपदंश,3
COMPOUND_fec3fa141c31,SYMPTOM_435ca3873d41,TREATS,Compound-Treats relationship,सूक्ष्म त्रिफळा,कृमिज शिरोरोग,3
COMPOUND_fec3fa141c31,SYMPTOM_a317a04d6ea5,TREATS,Compound-Treats relationship,सूक्ष्म त्रिफळा,फिरंग,3
COMPOUND_fec3fa141c31,SYMPTOM_7bbc967d0472,TREATS,Compound-Treats relationship,सूक्ष्म त्रिफळा,पाषाणगर्दभ,3
COMPOUND_fec3fa141c31,SYMPTOM_6100966d0a2c,TREATS,Compound-Treats relationship,सूक्ष्म त्रिफळा,क्षुद्ररोग,3
COMPOUND_d8438fe1dea5,DISEASE_578708c54b66,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,अम्लपित्त,3
COMPOUND_d8438fe1dea5,DISEASE_5e294e090c89,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,अपस्मार,3
COMPOUND_d8438fe1dea5,SYMPTOM_ac7049227bb3,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,उदर,3
COMPOUND_d8438fe1dea5,DISEASE_e7a747ffb620,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,उन्माद,3
COMPOUND_d8438fe1dea5,SYMPTOM_154b2e2e5974,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,कामला,3
COMPOUND_d8438fe1dea5,DISEASE_9fee7a39f2e6,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,छर्दि,3
COMPOUND_d8438fe1dea5,SYMPTOM_078750ea56f7,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,ज्वर,3
COMPOUND_d8438fe1dea5,DISEASE_5cbc093559fd,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,तृष्णा,3
COMPOUND_d8438fe1dea5,SYMPTOM_e398892d7620,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,दाह,3
COMPOUND_d8438fe1dea5,SYMPTOM_f4dfb786c878,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,धमनीप्रतिचय,3
COMPOUND_d8438fe1dea5,SYMPTOM_bff77d569de2,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,पांडु,3
COMPOUND_d8438fe1dea5,SYMPTOM_603d8414fc2a,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,भ्रम,3
COMPOUND_d8438fe1dea5,DISEASE_3e090ec6a1d8,TREATS,Compound-Treats relationship,सुवर्णसूतशेखर,मूर्च्छा,3
